id x y phenotype1 envi phenotype2 
0 0.295474 0.904066 -0.484619 -0.00347897 -0.484619
1 0.979879 0.791424 -0.895883 -0.397249 -0.895883
2 0.987901 0.778299 -0.37119 -0.455911 -0.37119
3 0.123671 0.706547 0.282114 -0.58176 0.282114
4 0.963224 0.950538 0.119501 0.0635504 0.119501
5 0.0387605 0.0186866 0.702298 -1.18656 0.702298
6 0.419267 0.0235817 0.600207 0.748252 0.600207
7 0.0324997 0.359815 0.405922 -0.882098 0.405922
8 0.0190758 0.352139 0.527057 -0.905131 0.527057
9 0.788546 0.980182 1.30586 -0.217118 1.30586
10 0.951648 0.0146163 -0.68741 -0.758464 -0.68741
11 0.296143 0.962768 0.947921 -0.0287572 0.947921
12 0.965532 0.763406 0.165094 -0.444447 0.165094
13 0.0436653 0.299063 -0.884746 -0.765135 -0.884746
14 0.985269 0.699327 0.656163 -0.573671 0.656163
15 0.397899 0.956546 0.602891 0.989775 0.602891
16 0.760144 0.725707 0.26447 0.0877647 0.26447
17 0.872277 0.805987 0.194354 -0.166881 0.194354
18 0.0124689 0.962994 -0.0142625 -1.10825 -0.0142625
19 0.0111357 0.0154842 1.08435 -1.37112 1.08435
20 0.0149405 0.949166 -0.395863 -1.08021 -0.395863
21 0.643549 0.985801 -0.0596355 0.698914 -0.0596355
22 0.0137593 0.946059 -0.194774 -1.07837 -0.194774
23 0.413792 0.0257996 1.37932 0.733825 1.37932
24 0.495786 0.560486 1.27047 1.32691 1.27047
25 0.557978 0.667029 1.26674 1.18348 1.26674
26 0.165523 0.981355 -1.19287 -0.733857 -1.19287
27 0.549932 0.223868 0.860187 1.55967 0.860187
28 0.431683 0.386223 1.31695 1.07771 1.31695
29 0.482914 0.54329 0.894815 1.21291 0.894815
30 0.956075 0.450393 -1.25618 -0.668552 -1.25618
31 0.0551081 0.0118073 0.0351724 -1.09451 0.0351724
32 0.569145 0.513024 0.900347 0.865032 0.900347
33 0.306792 0.584667 -0.899247 0.065465 -0.899247
34 0.838261 0.439783 -0.193336 -0.349547 -0.193336
35 0.219229 0.021431 -0.806166 -0.0391069 -0.806166
36 0.582211 0.834261 0.289257 1.21034 0.289257
37 0.569606 0.846926 0.56458 1.3101 0.56458
38 0.822897 0.270722 -0.705198 -0.106526 -0.705198
39 0.274159 0.41637 1.09668 -0.150686 1.09668
40 0.529415 0.0770258 1.39383 1.06364 1.39383
41 0.650722 0.966417 -0.499725 0.641402 -0.499725
42 0.0265906 0.340483 0.125062 -0.867819 0.125062
43 0.639018 0.405264 0.361689 0.665284 0.361689
44 0.553234 0.865408 -0.170117 1.44828 -0.170117
45 0.955017 0.0347911 -0.746025 -0.757422 -0.746025
46 0.285258 0.676393 -0.0653921 -0.0362615 -0.0653921
47 0.995924 0.700292 -0.300819 -0.602481 -0.300819
48 0.554446 0.227831 1.46822 1.5455 1.46822
49 0.549082 0.666813 -0.103248 1.23673 -0.103248
50 0.969036 0.266082 -0.113509 -0.800492 -0.113509
51 0.733258 0.703229 0.362527 0.183341 0.362527
52 0.149738 0.990956 -0.934508 -0.787512 -0.934508
53 0.209781 0.0182185 -1.12877 -0.0951929 -1.12877
54 0.987701 0.789107 -1.25182 -0.420702 -1.25182
55 0.588317 0.909469 0.866276 1.19331 0.866276
56 0.974739 0.951014 -0.541762 0.0812584 -0.541762
57 0.524647 0.0827581 1.07039 1.12138 1.07039
58 0.388045 0.952939 -0.262645 0.889873 -0.262645
59 0.932576 0.0304023 0.372185 -0.746219 0.372185
