id x y phenotype1 envi phenotype2 
111 0.962473 0.468804 -1.2248 -1.21224 -1.2248
112 0.302789 0.365927 -0.52144 0.374572 -0.52144
113 0.263035 0.962898 -0.764436 0.822107 -0.764436
114 0.176362 0.263727 0.799632 0.362321 0.799632
115 0.715417 0.218468 0.0418201 0.165836 0.0418201
116 0.979399 0.144754 1.04628 -0.411312 1.04628
117 0.867998 0.546081 0.400703 -0.617897 0.400703
118 0.450463 0.544837 -0.107738 0.642777 -0.107738
119 0.551337 0.0202591 1.45456 0.673205 1.45456
120 0.637807 0.585208 -0.177236 0.537247 -0.177236
121 0.444042 0.53123 0.182091 0.598642 0.182091
122 0.034291 0.662612 1.60978 -0.28784 1.60978
123 0.634137 0.583155 -0.320156 0.546769 -0.320156
124 0.328529 0.168705 0.548114 0.619893 0.548114
125 0.967444 0.475745 -0.597782 -1.28747 -0.597782
126 0.0405901 0.978097 0.716802 -0.330902 0.716802
127 0.410414 0.209867 0.956135 0.928545 0.956135
128 0.321816 0.171147 0.672234 0.604827 0.672234
129 0.352431 0.900891 0.299008 0.590019 0.299008
130 0.36129 0.891759 0.477096 0.579836 0.477096
131 0.966468 0.465331 -0.878684 -1.21569 -0.878684
132 0.32471 0.167827 0.481984 0.606976 0.481984
133 0.922575 0.265754 0.684963 0.0409147 0.684963
134 0.35114 0.894645 0.143566 0.554713 0.143566
135 0.978172 0.159667 0.988874 -0.331586 0.988874
136 0.426412 0.208812 0.519272 0.971887 0.519272
137 0.00724252 0.316066 0.946999 -0.063112 0.946999
138 0.575815 0.820149 0.520709 0.89382 0.520709
139 0.968196 0.458721 -1.13543 -1.18456 -1.13543
140 0.434165 0.311163 1.11533 0.929844 1.11533
141 0.968161 0.155883 0.616799 -0.33997 0.616799
142 0.632052 0.576433 -0.247495 0.545543 -0.247495
143 0.96581 0.459403 -1.21248 -1.17449 -1.21248
144 0.245228 0.589637 -1.20044 -0.559096 -1.20044
145 0.334508 0.176332 0.930569 0.651838 0.930569
146 0.128664 0.0107159 0.692101 -0.702695 0.692101
147 0.963836 0.468315 -0.930774 -1.21783 -0.930774
148 0.288233 0.380842 0.481274 0.282026 0.481274
149 0.967036 0.463688 -1.05223 -1.20887 -1.05223
150 0.427402 0.323661 -0.216167 0.882554 -0.216167
151 0.129181 0.00881978 0.255989 -0.707339 0.255989
152 0.878793 0.577957 1.43596 -0.615712 1.43596
153 0.933289 0.296701 0.685876 -0.122613 0.685876
154 0.308163 0.363741 0.560015 0.398745 0.560015
155 0.625647 0.586165 -0.645538 0.577943 -0.645538
156 0.86337 0.0526855 0.966936 -0.565121 0.966936
157 0.870463 0.0532734 0.744356 -0.583277 0.744356
158 0.352129 0.0127544 -0.296044 0.404533 -0.296044
159 0.447186 0.321014 0.0189669 0.949432 0.0189669
160 0.356135 0.880711 0.247766 0.50774 0.247766
161 0.999573 0.678972 0.55522 -0.935612 0.55522
162 0.96033 0.407069 1.28109 -0.822635 1.28109
163 0.0320505 0.97851 0.787107 -0.383465 0.787107
164 0.878573 0.0362034 0.968236 -0.667603 0.968236
165 0.55875 0.826599 0.708811 0.959161 0.708811
166 0.965165 0.455177 -1.06753 -1.14423 -1.06753
167 0.263849 0.604336 1.04244 -0.529886 1.04244
168 0.99009 0.97338 0.998793 -0.137723 0.998793
169 0.48573 0.981537 0.873593 0.980265 0.873593
170 0.223978 0.987533 -0.673094 0.871024 -0.673094
171 0.00300869 0.307399 1.1016 -0.0601946 1.1016
172 0.428256 0.197136 1.46289 0.95854 1.46289
173 0.861354 0.534683 0.917164 -0.597339 0.917164
174 0.762287 0.422697 0.817301 0.053242 0.817301
175 0.371523 0.892762 0.259483 0.623573 0.259483
176 0.968807 0.464901 -0.662561 -1.2275 -0.662561
177 0.467359 0.960596 0.822566 0.98313 0.822566
