id x y phenotype1 envi phenotype2 
0 0.00158473 0.490995 0.826778 -1.85405 0.826778
1 0.937898 0.321174 0.504232 -0.522879 0.504232
2 0.0434989 0.803136 0.194862 -0.498939 0.194862
3 0.0124732 0.461625 -0.0772802 -1.80018 -0.0772802
4 0.618531 0.833794 0.0257363 0.466991 0.0257363
5 0.957082 0.0438162 0.317192 -0.520875 0.317192
6 0.967265 0.993905 -0.845423 -0.694139 -0.845423
7 0.179022 0.0431834 0.194289 -0.605099 0.194289
8 0.498639 0.162524 -0.276146 0.692637 -0.276146
9 0.675622 0.206254 -0.797334 0.185275 -0.797334
10 0.772323 0.0426536 0.308279 0.124674 0.308279
11 0.808539 0.0378587 0.763241 0.00393082 0.763241
12 0.922034 0.279299 0.150971 -0.497875 0.150971
13 0.33601 0.238955 -0.795332 0.12533 -0.795332
14 0.976499 0.853699 -0.441741 -0.595358 -0.441741
15 0.431789 0.536166 0.606731 0.729203 0.606731
16 0.780042 0.602653 0.114521 0.0406612 0.114521
17 0.979719 0.0490565 -0.0193285 -0.60076 -0.0193285
18 0.970218 0.736244 -0.877865 -0.490706 -0.877865
19 0.241797 0.346609 -1.13212 -0.280767 -1.13212
20 0.415966 0.985203 0.838622 0.367322 0.838622
21 0.46269 0.197874 -0.897277 0.577863 -0.897277
22 0.672699 0.378783 -1.35767 0.285845 -1.35767
23 0.279232 0.26983 0.524162 -0.0794947 0.524162
24 0.175457 0.753789 -1.18363 -0.543628 -1.18363
25 0.505619 0.121628 0.804043 0.648153 0.804043
26 0.799136 0.778799 -1.00508 0.0192608 -1.00508
27 0.823645 0.0498257 0.673298 -0.06247 0.673298
28 0.673583 0.372302 -0.790367 0.276037 -0.790367
29 0.982135 0.691194 0.265643 -0.541925 0.265643
30 0.678988 0.369205 -1.06743 0.251725 -1.06743
31 0.186217 0.048496 0.0641472 -0.605592 0.0641472
32 0.56738 0.942129 0.502827 0.432926 0.502827
33 0.427921 0.529361 0.605754 0.713091 0.605754
34 0.355346 0.456027 0.911481 0.306002 0.911481
35 0.622312 0.774931 0.110284 0.556561 0.110284
36 0.0381749 0.253891 0.835981 -1.72269 0.835981
37 0.774688 0.612048 0.80404 0.062197 0.80404
38 0.318015 0.84262 -0.230633 -0.0570599 -0.230633
39 0.940323 0.295099 -0.391379 -0.536246 -0.391379
40 0.539393 0.166284 -0.407859 0.593224 -0.407859
41 0.781716 0.770229 0.751072 0.0869662 0.751072
42 0.361881 0.0453832 0.0867248 -0.0630913 0.0867248
43 0.671292 0.418765 -0.15594 0.33057 -0.15594
44 0.97465 0.505037 -0.989733 -0.574769 -0.989733
45 0.947975 0.294838 0.444753 -0.554544 0.444753
46 0.171618 0.0454614 0.457401 -0.607522 0.457401
47 0.812171 0.57537 0.767808 -0.0703977 0.767808
48 0.252061 0.0199679 -0.710111 -0.633707 -0.710111
49 0.804 0.270293 -0.711686 -0.226625 -0.711686
50 0.0433374 0.193012 -1.23979 -1.39264 -1.23979
51 0.546767 0.967499 -0.788521 0.450486 -0.788521
52 0.223872 0.963382 -0.542134 -0.14967 -0.542134
53 0.938729 0.310577 -0.738203 -0.527972 -0.738203
54 0.893951 0.265233 -0.410816 -0.437598 -0.410816
55 0.560627 0.981238 -0.469307 0.385939 -0.469307
56 0.806623 0.275727 -0.946797 -0.229439 -0.946797
57 0.228833 0.970759 0.374386 -0.117878 0.374386
58 0.94219 0.858536 0.289392 -0.503325 0.289392
59 0.240164 0.00752681 -0.761295 -0.657126 -0.761295
60 0.28608 0.274954 1.02688 -0.0524178 1.02688
61 0.648226 0.0318849 -0.178241 0.365866 -0.178241
62 0.421905 0.517752 1.03973 0.689257 1.03973
63 0.219139 0.985358 0.795372 -0.121025 0.795372
64 0.394053 0.0629763 0.834006 0.113383 0.834006
65 0.551331 0.957486 -1.03464 0.454128 -1.03464
66 0.319072 0.474473 0.000780307 0.112935 0.000780307
67 0.490855 0.671966 -0.024994 0.965384 -0.024994
68 0.652654 0.04357 0.492765 0.352656 0.492765
69 0.298183 0.848632 0.0584532 -0.140224 0.0584532
70 0.860123 0.533848 0.180033 -0.232049 0.180033
71 0.422827 0.348566 0.35976 0.570776 0.35976
72 0.561745 0.937663 0.138579 0.457254 0.138579
73 0.206694 0.665272 0.0313732 -0.56878 0.0313732
74 0.409048 0.985971 -0.795255 0.351462 -0.795255
75 0.814852 0.042964 0.611254 -0.0241964 0.611254
76 0.0479134 0.256111 0.0762228 -1.65142 0.0762228
77 0.240605 0.0173832 -0.653661 -0.64138 -0.653661
78 0.312647 0.139938 0.577502 -0.135186 0.577502
79 0.394232 0.996349 0.314723 0.319018 0.314723
80 0.243162 0.0118936 -0.428228 -0.652932 -0.428228
81 0.655717 0.414789 0.0555451 0.390228 0.0555451
82 0.861289 0.534408 0.689964 -0.235191 0.689964
83 0.561358 0.945155 0.233664 0.445568 0.233664
84 0.882843 0.283905 -0.427417 -0.404042 -0.427417
85 0.0308053 0.355292 0.528209 -1.72996 0.528209
86 0.337899 0.255162 0.123534 0.151934 0.123534
87 0.00660971 0.226256 -0.0894092 -1.80026 -0.0894092
88 0.552376 0.0260937 -0.457841 0.501713 -0.457841
89 0.371706 0.0315907 -0.906876 -0.0365811 -0.906876
90 0.0684811 0.387934 0.184247 -1.46141 0.184247
91 0.798072 0.263954 -0.187059 -0.216809 -0.187059
92 0.21908 0.0320763 0.513496 -0.611089 0.513496
93 0.983042 0.965725 0.0513889 -0.706888 0.0513889
94 0.934826 0.314254 0.291892 -0.517434 0.291892
95 0.242589 0.347889 -0.598821 -0.27573 -0.598821
96 0.321346 0.478038 0.374645 0.126156 0.374645
97 0.71826 0.986047 -0.53654 -0.088779 -0.53654
98 0.980728 0.00894833 -0.579677 -0.596904 -0.579677
99 0.380666 0.0363051 -0.0261449 0.013111 -0.0261449
100 0.377673 0.0492524 0.593438 0.0173168 0.593438
101 0.817092 0.406017 0.0766138 -0.17849 0.0766138
102 0.331432 0.229694 -1.24672 0.092327 -1.24672
103 0.971641 0.0575545 0.850473 -0.574865 0.850473
104 0.481622 0.655971 0.502316 0.921735 0.502316
105 0.412246 0.974509 -0.376429 0.361057 -0.376429
106 0.986934 0.866035 -0.678663 -0.634864 -0.678663
107 0.323246 0.834732 -0.521985 -0.0427787 -0.521985
108 0.785654 0.766357 -0.3103 0.0807171 -0.3103
109 0.955872 0.303234 1.27063 -0.571266 1.27063
110 0.0098925 0.979493 -0.83499 -0.862017 -0.83499
111 0.492768 0.63933 0.156953 1.00274 0.156953
112 0.253395 0.487458 0.0214336 -0.255189 0.0214336
113 0.424258 0.527323 -0.469078 0.693778 -0.469078
114 0.857951 0.533769 0.642664 -0.225751 0.642664
115 0.434527 0.807222 0.125547 0.514303 0.125547
116 0.794917 0.270745 -1.46373 -0.205238 -1.46373
117 0.960239 0.716025 0.147431 -0.465345 0.147431
118 0.0180672 0.501521 0.272294 -1.73664 0.272294
119 0.0523498 0.368621 -0.0963463 -1.57728 -0.0963463
120 0.969796 0.354994 0.120621 -0.593566 0.120621
121 0.977943 0.000818444 -0.826084 -0.585004 -0.826084
122 0.8291 0.404412 -0.0256109 -0.211149 -0.0256109
123 0.946138 0.745179 0.36473 -0.410747 0.36473
124 0.981822 0.0409619 -0.293393 -0.606595 -0.293393
125 0.39613 0.0466097 1.04996 0.100958 1.04996
126 0.62109 0.789485 0.876266 0.535266 0.876266
127 0.322813 0.846386 -0.44381 -0.0293795 -0.44381
128 0.799048 0.0504832 0.471811 0.021567 0.471811
129 0.617033 0.785158 0.537235 0.554687 0.537235
130 0.493437 0.621735 -0.748969 1.02058 -0.748969
131 0.00676693 0.710007 -0.310393 -0.618632 -0.310393
132 0.496985 0.649487 0.79107 1.02041 0.79107
133 0.22525 0.578574 -0.299933 -0.485261 -0.299933
134 0.623347 0.0431732 -0.400945 0.398367 -0.400945
135 0.942019 0.295128 0.542988 -0.540277 0.542988
136 0.970334 0.00601911 -4.16751e-05 -0.557835 -4.16751e-05
137 0.498897 0.652029 0.893386 1.03008 0.893386
138 0.190248 0.769024 -0.0909228 -0.53455 -0.0909228
139 0.556587 0.980119 -0.149392 0.399812 -0.149392
140 0.960721 0.0575944 1.32856 -0.537697 1.32856
141 0.389088 0.416137 -0.144499 0.461257 -0.144499
142 0.985297 0.833252 0.553923 -0.603364 0.553923
143 0.718243 0.17823 -0.424472 0.0854569 -0.424472
144 0.960086 0.283078 -1.12458 -0.586191 -1.12458
145 0.841394 0.420563 0.0108493 -0.235221 0.0108493
146 0.00262905 0.828429 -0.270535 -0.557791 -0.270535
147 0.562381 0.949541 -0.769993 0.435029 -0.769993
148 0.972941 0.325481 0.817733 -0.607637 0.817733
149 0.833672 0.550833 -0.834628 -0.146488 -0.834628
150 0.730235 0.998874 0.39864 -0.146156 0.39864
151 0.985053 0.878725 -0.097635 -0.640093 -0.097635
152 0.195233 0.9933 0.55991 -0.194924 0.55991
153 0.0472134 0.198362 -0.295417 -1.3991 -0.295417
154 0.966191 0.516052 0.76971 -0.546973 0.76971
155 0.419684 0.968874 -0.527797 0.381228 -0.527797
156 0.617557 0.59144 -0.471451 0.632357 -0.471451
157 0.0198948 0.467558 1.11571 -1.74929 1.11571
158 0.825479 0.0174413 -0.996485 -0.0333547 -0.996485
159 0.242579 0.35697 -0.304153 -0.278778 -0.304153
160 0.677484 0.236234 -0.613243 0.154604 -0.613243
161 0.00361739 0.822554 -0.317421 -0.544516 -0.317421
162 0.964935 0.325043 1.1009 -0.588087 1.1009
163 0.551188 0.0184719 -0.385638 0.500241 -0.385638
164 0.413488 0.949563 -0.217064 0.369775 -0.217064
165 0.559303 0.936352 0.748911 0.466727 0.748911
166 0.316224 0.841508 -0.834032 -0.0671285 -0.834032
167 0.0115435 0.826674 0.697719 -0.549121 0.697719
168 0.891699 0.261654 -0.662205 -0.433828 -0.662205
169 0.660952 0.411753 0.351371 0.365801 0.351371
170 0.945044 0.29257 0.936186 -0.548187 0.936186
171 0.326815 0.835366 -0.709967 -0.0246336 -0.709967
172 0.969965 0.00173295 -0.566141 -0.555412 -0.566141
173 0.388631 0.0499319 0.705247 0.0700359 0.705247
174 0.321701 0.8264 -0.942656 -0.0615377 -0.942656
175 0.967361 0.997605 -0.0772007 -0.697652 -0.0772007
176 0.950692 0.74544 -0.927836 -0.42526 -0.927836
177 0.649191 0.0533321 -0.366881 0.35267 -0.366881
178 0.365047 0.0385334 -0.300603 -0.0582439 -0.300603
179 0.305848 0.259271 0.791445 0.026852 0.791445
180 0.314079 0.84843 -0.0164649 -0.0670559 -0.0164649
181 0.644723 0.0504864 0.484459 0.361489 0.484459
182 0.417518 0.541296 0.885418 0.641288 0.885418
183 0.885584 0.259167 -0.900649 -0.420783 -0.900649
184 0.21535 0.659085 0.159223 -0.553413 0.159223
185 0.389259 0.420006 -0.0992028 0.464758 -0.0992028
186 0.0118488 0.462554 -0.111083 -1.80373 -0.111083
187 0.6131 0.379693 0.0562991 0.523519 0.0562991
188 0.477431 0.198257 -0.737383 0.638591 -0.737383
